item_no,sku,qty,description,product_family,product_type,product_dimension,ports,port_speed,poe_type,stacking,management,switch_layer,power_consumption,flash_memory,buffer_memory,throughput,latency,management_interface,network_interface,performance_tier,service_category,list_price_usd,street_price_usd,partner_price_usd,warranty_period,support_type,processor,operating_temp,storage_temp,humidity,compliance,package_contents,width,depth,height,weight_kg,availability,end_of_sale,orderability,duration,item_identifier,service_program,sheet,workbook,family,commercial_name,product_line,dimension,subscription_type,offer_type,product_name,wifi_standard,indoor_outdoor,antenna,radios,max_throughput,poe,controller_compat,eol_status,release_year
11,4PT-KIT-T2-M,1,"C9000 4 Point Type 1 rack mount kit, w/MERAKI",Switches,Meraki MS Hardware,Accessory,8,1G,PoE+,No,Controller,L2,794,256MB,2MB,200Gbps,2.5μs,"USB, Network",8 x 1G Ethernet,Performance,CORE,1718.55,1577.074134077901,1203.370232966405,Lifetime,Next Day,ARM 1.5GHz,0 to 40°C,-40 to 70°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",37.33,33.6,1.73,11.31,Out of Stock,EoS,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9000 4 Point Type 1 rack mount kit, w/MERAKI",,Accessory,,,,,,,,,,,,
16,C9200L-STAK-KIT-M,1,"C9200L Stack KIT, w/Meraki",Switches,Meraki MS Hardware,Accessory,24,10G,,No,On-Prem,L2,1051,512MB,1MB,100Gbps,3.0μs,"Console, Network",24 x 10G Ethernet,Premium,CORE,840.43,788.7309462848873,695.3581639675654,5 Years,4HR,ARM 1.2GHz,0 to 50°C,-40 to 70°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",34.94,20.46,4.67,6.57,Limited Stock,EoL,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9200L Stack KIT, w/Meraki",,Accessory,,,,,,,,,,,,
955,C9300-24P-M,1,"C9300 24-port, PoE+, 715wac PS, w/MERAKI",Switches,MS Hardware,Hardware,24,Multi-Gig,PoE+,Yes,Controller,L3,319,512MB,8MB,400Gbps,3.0μs,"USB, Network",24 x Multi-Gig Ethernet,Premium,CORE,1769.17,1510.156372112164,1330.570597096548,Lifetime,Next Day,x86 1.0GHz,0 to 40°C,-40 to 85°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",37.87,28.26,4.33,4.38,Out of Stock,EoS,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 24-port, PoE+, 715wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
22,C9300-24S-M,1,"C9300 24x1GE SFP, 715wac PS, w/MERAKI",Switches,Meraki MS Hardware,Accessory,24,Multi-Gig,,No,On-Prem,L3,1100,256MB,2MB,100Gbps,3.0μs,"USB, Network",24 x Multi-Gig Ethernet,Performance,CORE,6414.92,5939.973521026383,4962.19747138236,5 Years,Next Day,x86 1.8GHz,-5 to 45°C,-40 to 85°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",20.64,32.97,2.67,5.84,In Stock,Active,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 24x1GE SFP, 715wac PS, w/MERAKI",,Accessory,,,,,,,,,,,,
18,C9300-24T-M,1,"C9300 24-port data only, 350wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,24,Multi-Gig,,Yes,On-Prem,L3,255,512MB,8MB,400Gbps,2.0μs,"Console, USB, Network",24 x Multi-Gig Ethernet,Premium,CORE,16293.06,13885.62951497437,12815.63212169742,1 Year,24HR,ARM 1.2GHz,-5 to 45°C,-40 to 70°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",24.94,27.78,1.73,7.95,In Stock,EoL,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 24-port data only, 350wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
20,C9300-24U-M,1,"C9300 24-port UPOE, 1100wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,24,Multi-Gig,,Yes,On-Prem,L2,530,128MB,1MB,100Gbps,1.5μs,"USB, Network",24 x Multi-Gig Ethernet,Performance,CORE,2239.81,2021.0678245183,1703.326787150241,3 Years,NBD,ARM 1.2GHz,0 to 50°C,-40 to 85°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",30.73,25.83,2.95,5.19,In Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 24-port UPOE, 1100wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
951,C9300-24UX-M,1,"C9300 24-port mGig, UPOE, 1100wPS, w/MERAKI",Switches,MS Hardware,Hardware,24,10G,,No,On-Prem,L3,1174,256MB,8MB,100Gbps,2.5μs,"Console, Network",24 x 10G Ethernet,Essential,CORE,530.85,454.2920983176238,431.7439846498755,5 Years,4HR,ARM 1.5GHz,0 to 40°C,-40 to 70°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",29.99,39.04,4.7,14.3,In Stock,EoL,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 24-port mGig, UPOE, 1100wPS, w/MERAKI",,Hardware,,,,,,,,,,,,
28,C9300-48S-M,1,"C9300 48x1GE SFP, 715wac PS, w/MERAKI",Switches,Meraki MS Hardware,Accessory,48,1G,,Yes,On-Prem,L3,83,128MB,1MB,400Gbps,2.0μs,"USB, Network",48 x 1G Ethernet,Premium,CORE,4811.44,4568.922713306139,3464.337161066057,3 Years,24HR,x86 1.8GHz,0 to 40°C,-40 to 70°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",39.1,30.07,4.03,4.81,Out of Stock,EoS,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 48x1GE SFP, 715wac PS, w/MERAKI",,Accessory,,,,,,,,,,,,
25,C9300-48T-M,1,"C9300 48-port data only, 350wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,48,10G,,Yes,Controller,L3,353,512MB,2MB,100Gbps,1.5μs,"Console, USB, Network",48 x 10G Ethernet,Premium,CORE,3311.48,2851.198980769691,2770.829272604963,3 Years,4HR,ARM 1.5GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",38.6,32.46,2.99,12.76,In Stock,EoL,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 48-port data only, 350wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
949,C9300-48U-M,1,"C9300 48-port UPOE, 1100wac PS, w/MERAKI",Switches,MS Hardware,Hardware,48,1G,,Yes,Controller,L3,1130,64MB,1MB,50Gbps,3.0μs,"USB, Network",48 x 1G Ethernet,Premium,CORE,8307.98,7713.309921479268,6780.962592733656,Lifetime,Next Day,x86 1.8GHz,-5 to 45°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",40.4,24.09,4.32,14.33,Limited Stock,EoS,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 48-port UPOE, 1100wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
