sku,description,product_type,product_family,product_dimension,usage,network_interface,ports,uplinks,poe_type,power_configuration,stacking,routing_capabilities,list_price_usd,orderability,sheet,workbook,radio_specification,spatial_streams,indoor_outdoor
C9300X-24Y-M,"C9300X 24x25GE SFP+, 715wac PS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,Fiber aggregation for campus access and branch,12/24x 25G SFP28,24,"2x 40G/100G QSFP28
8x 1/10/25G SPF28",Fiber ports,"Removable PSU
Modular 80 PLUS® Platinum PSU","Stackwise-1T + virtual +
StackPower2","Static + dynamic
DHCP Server + relay",29572.13,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS450-12-HW,Meraki MS450-L3 Stack Cld-Mngd 12x40GE Aggregation Switch,Meraki -Switch,Switches,Meraki MS Hardware,40G fiber aggregation,12x 40 GbE QSFP+,12,2x 100 GbE QSFP28,"Modular
Redundant PSU optional
(sold separately)","2x dedicated stack ports
for up to 400G + virtual","Static + dynamic
DHCP server + relay
Warm spare (VRRP)",,27425.19,ICW-ONLY,Sheet1,Cisco Switches MS,,,
C9300-24P-M,"C9300 24-port, PoE+, 715wac PS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,High-performance branch and campus,24 x 1GbE RJ45,24,"4x 1G/10G SFP/SFP+
8x 1/10G SFP/SFP+
2x 40G QSFP
2x 1G/10G/25G SFP/SFP+","Data only option
30 W PoE+ option
60 W UPOE option","Removable PSU
Modular 80 PLUS® Platinum PSU","480G physical + virtual +
StackPower","Static + dynamic
DHCP Server + relay",6583.76,ICW-ONLY,Sheet1,Cisco Switches MS,,,
C9300-24T-M,"C9300 24-port data only, 350wac PS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,High-performance branch and campus,24 x 1GbE RJ45,24,"4x 1G/10G SFP/SFP+
8x 1/10G SFP/SFP+
2x 40G QSFP
2x 1G/10G/25G SFP/SFP+","Data only option
30 W PoE+ option
60 W UPOE option","Removable PSU
Modular 80 PLUS® Platinum PSU","480G physical + virtual +
StackPower","Static + dynamic
DHCP Server + relay",5606.9,ICW-ONLY,Sheet1,Cisco Switches MS,,,
C9300-24U-M,"C9300 24-port UPOE, 1100wac PS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,High-performance branch and campus,24 x 1GbE RJ45,24,"4x 1G/10G SFP/SFP+
8x 1/10G SFP/SFP+
2x 40G QSFP
2x 1G/10G/25G SFP/SFP+","Data only option
30 W PoE+ option
60 W UPOE option","Removable PSU
Modular 80 PLUS® Platinum PSU","480G physical + virtual +
StackPower","Static + dynamic
DHCP Server + relay",7192.79,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS390-48UX2-HW,Meraki MS390 48m5G L3 UPOE Switch,Meraki -Switch,Switches,Meraki MS Hardware,"High-performance campus
and branch",24/48× mGig RJ45,48,"4/8x 10 GbE SFP+
2x 40 GbE QSFP+
Modular",822 W,"Removable PSU
Modular 80 PLUS® Platinum PSU","Compatible only with MS390
480G physical + virtual","Static + dynamic
DHCP server + relay",13839.75,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS390-48UX-HW,"Meraki MS390 48 port 12mGig, 36m2.5G L3 UPOE Switch",Meraki -Switch,Switches,Meraki MS Hardware,"High-performance campus
and branch",24/48× mGig RJ45,48,"4/8x 10 GbE SFP+
2x 40 GbE QSFP+
Modular",822 W,"Removable PSU
Modular 80 PLUS® Platinum PSU","Compatible only with MS390
480G physical + virtual","Static + dynamic
DHCP server + relay",14345.06,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS390-24U-HW,Meraki MS390 24GE L3 UPOE Switch,Meraki -Switch,Switches,Meraki MS Hardware,"High-performance campus
and branch",24/48x 1 GbE RJ45,48,"4/8x 10 GbE SFP+
2x 40 GbE QSFP+
Modular",830 W,"Removable PSU
Modular 80 PLUS® Platinum PSU","Compatible only with MS390
480G physical + virtual","Static + dynamic
DHCP server + relay",6874.75,ICW-ONLY,Sheet1,Cisco Switches MS,,,
C9300L-24P-4X-M,"C9300L 24-port PoE, 4x10G Uplink, 715wac PS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,High-performance branch and campus,24x 1 GbE RJ45,24,4x 1G/10G SFP/SFP+,"Data only option
30 W PoE+ option","Removable PSU
Modular 80 PLUS® Platinum PSU",320G physical + virtual,"Static + dynamic
DHCP Server + relay",7502.33,ICW-ONLY,Sheet1,Cisco Switches MS,,,
C9300L-24T-4X-M,"C9300L 24-port data, 4x10G Uplink, 350wac PS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,High-performance branch and campus,24x 1 GbE RJ45,24,4x 1G/10G SFP/SFP+,"Data only option
30 W PoE+ option","Removable PSU
Modular 80 PLUS® Platinum PSU",320G physical + virtual,"Static + dynamic
DHCP Server + relay",6881.24,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS210-24-HW,Meraki MS210-24 1G L2 Cld-Mngd 24x GigE Switch,Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,24x 1 GbE RJ45,24,"4x 1 GbE SFP
Fixed",370 W,"Internal
Optional RPS","Compatible with MS225
80G physical + virtual",Static Only DHCP relay,4026.72,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS210-24P-HW,Meraki MS210-24P 1G L2 Cld-Mngd 24x GigE 370W PoE Switch,Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,24x 1 GbE RJ45,24,"4x 1 GbE SFP
Fixed",370 W,"Internal
Optional RPS","Compatible with MS225
80G physical + virtual",Static Only DHCP relay,4942.16,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS225-24-HW,Meraki MS225-24 L2 Stck Cld-Mngd 24x GigE Switch,Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,24x 1 GbE RJ45,24,"4x 10 GbE SFP+
Fixed",370 W,"Internal
Optional RPS","Compatible with MS210
80G physical + virtual",Static Only DHCP relay,4816.23,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS225-24P-HW,Meraki MS225-24P L2 Stck Cld-Mngd 24x GigE 370W PoE Switch,Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,24x 1 GbE RJ45,24,"4x 10 GbE SFP+
Fixed",370 W,"Internal
Optional RPS","Compatible with MS210
80G physical + virtual",Static Only DHCP relay,5608.65,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS250-24-HW,Meraki MS250-24 L3 Stck Cld-Mngd 24x GigE Switch,Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,24x 1 GbE RJ45,24,"4x 10 GbE SFP+
Fixed",370 W,"Modular
Redundant PSU optional",80G physical + virtual,"Static + dynamic1
DHCP server + relay
Warm spare (VRRP)",7913.5,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS250-24P-HW,Meraki MS250-24P L3 Stck Cld-Mngd 24x GigE 370W PoE Switch,Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,24x 1 GbE RJ45,24,"4x 10 GbE SFP+
Fixed",370 W,"Modular
Redundant PSU optional",80G physical + virtual,"Static + dynamic1
DHCP server + relay
Warm spare (VRRP)",8593.66,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS120-24-HW,Meraki MS120-24 1G L2 Cloud Managed 24x GigE Switch,Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,24x 1 GbE RJ45,24,"4x 1 GbE SFP 
Fixed","370 W (P, LP models) 
740 W (FP model)",Internal,Virtual only,DHCP relay,2311.04,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS130-24-HW,Meraki MS130-24 Cloud Managed 24GE Switch,Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,"24x 1 GbE RJ45
18x 1 GbE + 6x 2.5 GbE RJ45
(in select models)",24,"4x 1 GbE SFP
4x 10 GbE SFP+ (in select models)
Fixed",370 W,Internal,Virtual only,DHCP relay,1869.3,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS130-24P-HW,Meraki MS130-24P Cloud Managed 24GE 370W PoE Switch,Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,"24x 1 GbE RJ45
18x 1 GbE + 6x 2.5 GbE RJ45
(in select models)",24,"4x 1 GbE SFP
4x 10 GbE SFP+ (in select models)
Fixed",370 W,Internal,Virtual only,DHCP relay,3009.98,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS130-24X-HW,Meraki MS130-24X Cloud Mgd. 18GE + 6x(2.5GE) 370W PoE Switch,Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,"24x 1 GbE RJ45
18x 1 GbE + 6x 2.5 GbE RJ45
(in select models)",24,"4x 1 GbE SFP
4x 10 GbE SFP+ (in select models)
Fixed",370 W,Internal,Virtual only,DHCP relay,5527.5,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS355-24X2-HW,Meraki MS355-L3 Stck Cld-Mngd 24xmG UPOE Switch,Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,"24x 1 GbE RJ45
8× mGig RJ45",24,"2x 40G QSFP+
Fixed",740 W,Removable PSU,400G physical +virtual,"Static + dynamic
DHCP server + relay",15539.31,ICW-ONLY,Sheet1,Cisco Switches MS,,,
MS355-24X-HW,"Meraki MS355-L3 Stck Cld-Mngd 24GE, 8xmG UPOE Switch",Meraki -Switch,Switches,Meraki MS Hardware,Branch and campus,"24x 1 GbE RJ45
8× mGig RJ45",24,"2x 40G QSFP+
Fixed",740 W,Removable PSU,400G physical +virtual,"Static + dynamic
DHCP server + relay",13579.52,ICW-ONLY,Sheet1,Cisco Switches MS,,,
C9300-24S-M,"C9300 24x1GE SFP, 715wac PS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,Fiber aggregation for campus access and branch,24x 1 GbE SFP,24,"4x 1G/10G SFP/SFP+
8x 1/10G SFP/SFP+
2x 40G QSFP
2x 1G/10G/25G SFP/SFP+",Fiber ports,"Removable PSU
Modular 80 PLUS® Platinum PSU","480G physical + virtual +
StackPower","Static + dynamic
DHCP server + relay",26058.65,ICW-ONLY,Sheet1,Cisco Switches MS,,,
C9300-24UX-M,"C9300 24-port mGig, UPOE, 1100wPS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,Secure Wi-Fi 6/6E deployments,24x 10G mGig,24,"4x 1G/10G SFP/SFP+
8x 1G/10G SFP/SFP+
2x 40G QSFP
2x 1G/10G/25G SFP28",60 W UPOE option,"Removable PSU
Modular 80 PLUS® Platinum PSU","480G physical + virtual +
StackPower","Static + dynamic
DHCP Server + relay",14952.39,ICW-ONLY,Sheet1,Cisco Switches MS,,,
C9300L-24UXG-4X-M,"C9300L 24-port, 8mGig, 4x10G Uplink, 1100wac PS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,Secure Wi-Fi 6/6E deployments,24x 10G mGig,24,4x 1G/10G SFP/SFP+,60 W PoE,"Removable PSU
Modular 80 PLUS® Platinum PSU",320G physical + virtual,"Static + dynamic
DHCP Server + relay",10110.3,ICW-ONLY,Sheet1,Cisco Switches MS,,,
C9300X-24HX-M,"C9300X 24-port mGig UPoE+, 1100wac PS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,"Secure Wi-Fi 6/6E deployments 
90 W UPOE options for smart building deployments",24x 10G mGig,24,"2x 40G/100G QSFP28
8x 1/10/25G SFP28","Data only and 90 W
UPOE+ options","Removable PSU
Modular 80 PLUS® Platinum PSU","Stackwise-1T + virtual +
StackPower2","Static + dynamic
DHCP Server + relay",15339.32,ICW-ONLY,Sheet1,Cisco Switches MS,,,
C9300-48UXM-M,"C9300 48port (12mGig&36 2.5Gbps), UPOE, 1100wac PS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,Secure Wi-Fi 6/6E deployments,"36x 2.5 mGig
and 12x 10G mGig",36,"4x 1G/10G SFP/SFP+
8x 1G/10G SFP/SFP+
2x 40G QSFP
2x 1G/10G/25G SFP28",60 W UPOE option,"Removable PSU
Modular 80 PLUS® Platinum PSU","480G physical + virtual +
StackPower","Static + dynamic
DHCP Server + relay",14952.39,ICW-ONLY,Sheet1,Cisco Switches MS,,,
C9300X-48HXN-M,"C9300X 48-port, 8xmGig+40x5G UPOE+, 1100wac PS, w/MERAKI",Catalyst-Switch,Switches,Catalyst,"Secure Wi-Fi 6/6E deployments 
90 W UPOE options for smart building deployments",40x 5G and 8x 10G mGig,40,"2x 40G/100G QSFP28
8x 1/10/25G SFP28","Data only and 90 W
UPOE+ options","Removable PSU
Modular 80 PLUS® Platinum PSU","Stackwise-1T + virtual +
StackPower2","Static + dynamic
DHCP Server + relay",16113.17,ICW-ONLY,Sheet1,Cisco Switches MS,,,
