"Category","Sub_Category","Part Number","Desc","price","Elig %"
"Hardware","Antennas","MR42E-HW","Meraki MR42E Cloud Managed Indoor AP with External Antennas","1099.0","1"
"Hardware","Antennas","MR53E-HW","Meraki MR53E Cloud Managed Indoor AP with External Antennas","1699.0","1"
"Hardware","Antennas","MA-ANT-23","Meraki 2.4GHz Sector Antenna","349.0","1"
"Hardware","Antennas","MA-ANT-21","Meraki 5GHz Sector Antenna","349.0","1"
"Hardware","Antennas","MA-ANT-20","Meraki Dual Band Omni Antennas","199.0","1"
"Hardware","Antennas","MA-ANT-25","Meraki Dual Band Patch Antenna","349.0","1"
"Hardware","Antennas","MA-ANT-27","Meraki Dual Band Sector Antenna","349.0","1"
"Hardware","Antennas","MA-ANT-MX","Meraki Wireless MX Replacement Antenna","25.0","1"
"Hardware","Cabling","CAB-E1-BNC","E1 Cable BNC 75ohm/Unbal 5m","100.0","1"
"Hardware","Cabling","CAB-E1-DB15","E1 Cable DB15 120 ohm/Balanced, 5 Meters","100.0","1"
"Hardware","Cabling","CAB-7KCT1DB15=","MIP-CT1: DSX1 to CSU DB-15 Thru Cable","100.0","1"
"Hardware","Connectors","15454M-R1062SWK9=","MSTP - ANSI & ETSI, R10.6.2 - RTU LIC DVD, NO WSON","1995.0","1"
"Hardware","Connectors","NCS2006-LCD=","NCS 2006 LCD Display with Backup Memory","80.0","1"
"Hardware","Connectors","GLC-ZX-SMD","1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM","3995.0","1"
"Hardware","Connectors","GLC-ZX-SMD=","1000BASE-ZX SFP transceiver module, SMF, 1550nm, DOM","4114.0","1"
"Hardware","Connectors","QSFP-100G-CWDM4-S=","100GBASE CWDM4 QSFP Transceiver, LC, 2km over SMF","16648.99","1"
"Hardware","Connectors","QSFP-100G-LR4-S","100GBASE LR4 QSFP Transceiver, LC, 10km over SMF","29995.0","1"
"Hardware","Connectors","QSFP-100G-LR4-S=","100GBASE LR4 QSFP Transceiver, LC, 10km over SMF","32986.01","1"
"Hardware","Connectors","QSFP-100G-SR4-S","100GBASE SR4 QSFP Transceiver, MPO, 100m over OM4 MMF","1995.0","1"
"Hardware","Connectors","QSFP-100G-SR4-S=","100GBASE SR4 QSFP Transceiver, MPO, 100m over OM4 MMF","2294.0","1"
"Hardware","Connectors","DWDM-XFP-C","10G MultiRate C Band Tunable DWDM XFP","20500.0","1"
"Hardware","Connectors","FET-40G=","40G Line Extender for FEX","3124.0","1"
"Hardware","Connectors","CPAK-100G-ER4L=","CPAK module, 100G for applications >10km","78750.0","1"
"Hardware","Connectors","CPAK-100G-LR4=","CPAK-100G-LR4 Transceiver module, 10km SMF","42000.0","1"
